,,,,,,,,,,, ,
,,,,,,,,,,,,
Assigned,BRANCH ,Customer,Account Status,Collection Status,PHASE,COMMUNICATION SCHEDULE,Note/Contact Date,Collections Team - Notes,Action Item / Follow-up Items,Local Management Note Date,Local Management Notes,Days since contact
Josie,Bakersfield ,BOWMAN CONSTRUCTION LLC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,Emailed Dawn copy of invoice waiting on response ,,,,28
Josie,Bakersfield ,ACCURATE TRENCHING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,2/12/2026,Judie emailed back said she was on her way Emailed Judie to confirm she would be dropping off check waiting on reply,,,,97
Sylvia,Arroyo Grande,VSS INTERNATIONAL,Active,Uncollectable,VP/HIGH LEVEL,WEEKLY,12/2/2025,"$107,903.85 Check will be ready today from 2-3pm, she will let us know ones check is signed",whan dylan gets all the backup lui will call to see if they will do early pay,,,169
Elizabeth,Bakersfield,LENNAR HOMES,Active,Contacted,COLLECTION TEAM,PORTAL,3/31/2026,sent payment request update tbd,,,,50
Sylvia,Bakersfield,DIVERSIFIED PROJECT SERVICES INTERNATIONA,Active,Contacted,COLLECTION TEAM,WEEKLY,5/13/2026,"Trent follow up with Emily regarding payment on those March invoices, waiting for a response (bakersfield account)",,,,7
Josie,Bakersfield,ACTIVATED EVENTS,Active,Contacted,COLLECTION TEAM,WEEKLY,5/7/2026,"Paid Via credit card $6,557.00",,,,13
Josie,Bakersfield,"VCC, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,Account is not past due current invoices due this month ,,,,15
Josie,Bakersfield,RESCUE HERO PLUMBING,Active,Contacted,COLLECTION TEAM,WEEKLY,5/4/2026,Asked customer to make a pyment  this is the third request  waiting on response ,,,,16
Sylvia,Bakersfield,BROADBAND INTEGRATORS,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/13/2026,"$1,580.00 with Credit Card for all open invoices, per Ofelia (bakersfield account)",,,,7
Josie,A.G ,JOSEPH CONSTRUCTION AND CONSULTING INC,Active,Contacted,COLLECTION TEAM,WEEKLY,5/5/2026,Paid for TCP with credit card gave to Logan to process card ,,,,15
Josie,Bakersfield ,CEN-CAL CONSTRUCTION,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,5/5/2026, Cust responed said will put in this weeks pay run  Emailed status report to customer ,,,,15
Sylvia,Bakersfield,UNIFIED FIELD SERVICES CORPORATION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/29/2026,"left message for Amelia, see if April invoices received. (bakersfield account)",,,,21
Josie,Bakersfield /Fresno ,KRAZAN & ASSOCIATES,Active,Contacted,COLLECTION TEAM,WEEKLY,5/1/2026,Spoke with Hammer said Jason will pick up said she will mail check asked if  we could pick up said yes after 11:00,,,,19
Josie,Bakersfield,AT&T CABLE MAINTENANCE (BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,Emailed status report waiting on responser ,,,,27
Sylvia,Bakersfield,CALIFORNIA WATER SERVICE,Active,Under Review,BRANCH MANAGER,WEEKLY,5/12/2026,asked if invoice was paid let her know yes after speaking with Victora ,,,,8
Sylvia,Bakersfield,BLUMER CONSTRUCTION,Active,Contacted,COLLECTION TEAM,WEEKLY,4/27/2026,"talk to Steve, said the March Invoice received, payment next month.",,,,23
Sylvia,Bakersfield,HECTORS PLUMBING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/29/2026,"emailed Yessenia see if April-4 invoices received and if it is being approved, waiting for a response. (bakersfield account)",,,,21
Sylvia,,MCMURTEY LINCE INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,9/8/2025,"$1,095.00 Ck-10571, check out Friday per Jim.",,,,254
Josie,OC,"ZEBRON CONTRACTING, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/21/2026,Mindy asked for a copy of invoice eamiled to her asking for turn around time Emailed Status report seeing if needs invoice ,,,,29
Josie,Bakersfield,CITY OF ARVIN,Active,Paid,COLLECTION TEAM,WEEKLY,4/23/2026,Spoke with Raul  paid with Credit card ,,,,27
Josie,Bakersfield ,CHEVRON BILL TO MIKE WILLINGHAM,Active,Contacted,COLLECTION TEAM,WEEKLY,4/22/2026,Emailed Sherry said to call her she paid one then had me call her and paid the other one paid ,,,,28
Josie,Bakersfield ,LOOP ELECTRIC,Active,Contacted,COLLECTION TEAM,WEEKLY,4/23/2026,Check 65706 went out on 4/22/26,,,,27
Josie,OC,NATIONAL COATING & LINING COMPANY,Active,Contacted,COLLECTION TEAM,WEEKLY,,,,,,DATE NEEDED
Sylvia,Arroyo Grande ,DTS TELE COM,Active,Contacted,COLLECTION TEAM,WEEKLY,4/8/2026,"following up with Victoria regarding invoice voide invoice, she will tomorrown now this account will be 0",,,,42
Sylvia,Bakersfield,"RACE TELECOMMUNICATIONS, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,5/13/2026,Asked if she needs invoice waiting on reply ,,,,7
Josie,OC,CALPROMAX ENGINEERING INC.,Active,Contacted,COLLECTION TEAM,WEEKLY,4/8/2026,customer replied that check went out asked if they had a check # replied back check went out ,,,,42
Sylvia,Bakersfield ,BADGER DAYLIGHTING CORP.,Active,Contacted,COLLECTION TEAM,WEEKLY,3/31/2026,"Sudhakar replied to email, said Invoice  2-14-25 approve for payment hope this week $520.00 (bakersfield account)",,,,50
Sylvia,Bakersfield ,"C&C ACQUISITION GROUP, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,"Invoice recived, per Jennifer. March invoice",,,,43
Lui,Bakersfield,ACTIVE BAKERSFIELD ALLIANCE,Active,Contacted,DO NOT CONTACT!,DO NOT CALL,2/9/2026,per jordan dont worry about balance for now.,,,,100
Sylvia,Bakersfield,AMERICAN ENVIRO SERVICES NC,Active,Promise to Pay,COLLECTION TEAM,WEEKLY,4/6/2026,"left message for Danielle, also following up on email thread regarding payment on Feb-28 and March-7 invoices. (bakersfield account)",,,,44
Josie,O.C ,"A&L COMMUNICATIONS, INC.",Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,emailed receipt that he paid today Emailed Luis said invoice was paid let him know we still show as open and not paid can he provide me with payment information ,,,,49
Josie,Bakersfield,GRANITE CONSTRUCTION (BAKERSFIELD),Active,Contacted,COLLECTION TEAM,WEEKLY,3/5/2026,Emailed  asking for past due emailed back showing it was paid foward email to Victoria ,,,,76
Sylvia,Bakersfield,"QUALITY ASPHALT CONSTRUCTION, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/7/2026,"no answer, left message regarding the March invoice, tryaing again tomorrow.",,,,43
Josie,Bakersfield,"UNWIRED BROADBAND, LLC",Active,Contacted,COLLECTION TEAM,WEEKLY,4/2/2026,said Check is ready for pick up Hmmer picked up ,,,,48
Josie,Bakersfield,"DO IT RIGHT PLUMBING & DRAIN CLEANING, LL",Active,Contacted,COLLECTION TEAM,WEEKLY,4/1/2026,said that yes he received invoice yesterday ,,,,49
